,Unnamed: 0,name,generation,classfication,abilities,height_m,weight_kg,type1,type2,is_legendary,is_mythical,is_mega
43,43,Nidorino,1.0,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.9,19.5,Poison,None,0.0,0.0,0.0
44,44,Nidoking,1.0,Drill Pokemon,"['Poison Point', 'Rivalry', 'Sheer Force']",1.4,62.0,Poison,Ground,0.0,0.0,0.0
45,45,Clefairy,1.0,Fairy Pokemon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.6,7.5,Fairy,None,0.0,0.0,0.0
46,46,Clefable,1.0,Fairy Pokemon,"['Cute Charm', 'Magic Guard', 'Unaware']",1.3,40.0,Fairy,None,0.0,0.0,0.0
47,47,Vulpix,1.0,Fox Pokemon,"['Flash Fire', 'Drought']",0.6,9.9,Fire,None,0.0,0.0,0.0
48,48,Alolan Vulpix,1.0,Fox Pokemon,"['Snow Cloak', 'Snow Warning']",0.6,9.9,Ice,None,0.0,0.0,0.0
49,49,Ninetales,1.0,Fox Pokemon,"['Flash Fire', 'Drought']",1.1,19.9,Fire,None,0.0,0.0,0.0
50,50,Alolan Ninetales,1.0,Fox Pokemon,"['Snow Cloak', 'Snow Warning']",1.1,19.9,Ice,Fairy,0.0,0.0,0.0
51,51,Jigglypuff,1.0,Balloon Pokemon,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,5.5,Normal,Fairy,0.0,0.0,0.0
52,52,Wigglytuff,1.0,Balloon Pokemon,"['Cute Charm', 'Competitive', 'Frisk']",1.0,12.0,Normal,Fairy,0.0,0.0,0.0
53,53,Zubat,1.0,Bat Pokemon,"['Inner Focus', 'Infiltrator']",0.8,7.5,Poison,Flying,0.0,0.0,0.0
54,54,Golbat,1.0,Bat Pokemon,"['Inner Focus', 'Infiltrator']",1.6,55.0,Poison,Flying,0.0,0.0,0.0
55,55,Oddish,1.0,Weed Pokemon,"['Chlorophyll', 'Run Away']",0.5,5.4,Grass,Poison,0.0,0.0,0.0
56,56,Gloom,1.0,Weed Pokemon,"['Chlorophyll', 'Stench']",0.8,8.6,Grass,Poison,0.0,0.0,0.0
57,57,Vileplume,1.0,Flower Pokemon,"['Chlorophyll', 'Effect Spore']",1.2,18.6,Grass,Poison,0.0,0.0,0.0
58,58,Paras,1.0,Mushroom Pokemon,"['Effect Spore', 'Dry Skin', 'Damp']",0.3,5.4,Bug,Grass,0.0,0.0,0.0
59,59,Parasect,1.0,Mushroom Pokemon,"['Effect Spore', 'Dry Skin', 'Damp']",1.0,29.5,Bug,Grass,0.0,0.0,0.0
60,60,Venonat,1.0,Insect Pokemon,"['Compound Eyes', 'Tinted Lens', 'Run Away']",1.0,30.0,Bug,Poison,0.0,0.0,0.0
61,61,Venomoth,1.0,Poison Moth Pokemon,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",1.5,12.5,Bug,Poison,0.0,0.0,0.0
62,62,Diglett,1.0,Mole Pokemon,"['Sand Veil', 'Arena Trap', 'Sand Force']",0.2,0.8,Ground,None,0.0,0.0,0.0
63,63,Alolan Diglett,1.0,Mole Pokemon,"['Sand Veil', 'Tangling Hair', 'Sand Force']",0.2,1.0,Ground,Steel,0.0,0.0,0.0
64,64,Dugtrio,1.0,Mole Pokemon,"['Sand Veil', 'Arena Trap', 'Sand Force']",0.7,33.3,Ground,None,0.0,0.0,0.0
65,65,Alolan Dugtrio,1.0,Mole Pokemon,"['Sand Veil', 'Tangling Hair', 'Sand Force']",0.7,66.6,Ground,Steel,0.0,0.0,0.0
66,66,Meowth,1.0,Scratch Cat Pokemon,"['Pickup', 'Technician', 'Unnerve']",0.4,4.2,Normal,None,0.0,0.0,0.0
67,67,Alolan Meowth,1.0,Scratch Cat Pokemon,"['Pickup', 'Technician', 'Rattled']",0.4,4.2,Dark,None,0.0,0.0,0.0
68,68,Persian,1.0,Classy Cat Pokemon,"['Limber', 'Technician', 'Unnerve']",1.0,32.0,Normal,None,0.0,0.0,0.0
69,69,Alolan Persian,1.0,Classy Cat Pokemon,"['Fur Coat', 'Technician', 'Rattled']",1.1,33.0,Dark,None,0.0,0.0,0.0
70,70,Psyduck,1.0,Duck Pokemon,"['Damp', 'Cloud Nine', 'Swift Swim']",0.8,19.6,Water,None,0.0,0.0,0.0
71,71,Golduck,1.0,Duck Pokemon,"['Damp', 'Cloud Nine', 'Swift Swim']",1.7,76.6,Water,None,0.0,0.0,0.0
72,72,Mankey,1.0,Pig Monkey Pokemon,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,28.0,Fighting,None,0.0,0.0,0.0
73,73,Primeape,1.0,Pig Monkey Pokemon,"['Vital Spirit', 'Anger Point', 'Defiant']",1.0,32.0,Fighting,None,0.0,0.0,0.0
74,74,Growlithe,1.0,Puppy Pokemon,"['Intimidate', 'Flash Fire', 'Justified']",0.7,19.0,Fire,None,0.0,0.0,0.0
75,75,Arcanine,1.0,Legendary Pokemon,"['Intimidate', 'Flash Fire', 'Justified']",1.9,155.0,Fire,None,0.0,0.0,0.0
76,76,Poliwag,1.0,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",0.6,12.4,Water,None,0.0,0.0,0.0
77,77,Poliwhirl,1.0,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,20.0,Water,None,0.0,0.0,0.0
78,78,Poliwrath,1.0,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",1.3,54.0,Water,Fighting,0.0,0.0,0.0
79,79,Abra,1.0,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",0.9,19.5,Psychic,None,0.0,0.0,0.0
80,80,Kadabra,1.0,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.3,56.5,Psychic,None,0.0,0.0,0.0
81,81,Alakazam,1.0,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.5,48.0,Psychic,None,0.0,0.0,0.0
82,82,Mega Alakazam,1.0,Psi Pokemon,['Trace'],1.2,48.0,Psychic,None,0.0,0.0,1.0
83,83,Machop,1.0,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",0.8,19.5,Fighting,None,0.0,0.0,0.0
84,84,Machoke,1.0,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",1.5,70.5,Fighting,None,0.0,0.0,0.0
85,85,Machamp,1.0,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",1.6,130.0,Fighting,None,0.0,0.0,0.0
86,86,Bellsprout,1.0,Flower Pokemon,"['Chlorophyll', 'Gluttony']",0.7,4.0,Grass,Poison,0.0,0.0,0.0
87,87,Weepinbell,1.0,Flycatcher Pokemon,"['Chlorophyll', 'Gluttony']",1.0,6.4,Grass,Poison,0.0,0.0,0.0
88,88,Victreebel,1.0,Flycatcher Pokemon,"['Chlorophyll', 'Gluttony']",1.7,15.5,Grass,Poison,0.0,0.0,0.0
89,89,Tentacool,1.0,Jellyfish Pokemon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.9,45.5,Water,Poison,0.0,0.0,0.0
90,90,Tentacruel,1.0,Jellyfish Pokemon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1.6,55.0,Water,Poison,0.0,0.0,0.0
91,91,Geodude,1.0,Rock Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",0.4,20.0,Rock,Ground,0.0,0.0,0.0
92,92,Alolan Geodude,1.0,Rock Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",0.4,20.3,Rock,Electric,0.0,0.0,0.0
93,93,Graveler,1.0,Rock Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",1.0,105.0,Rock,Ground,0.0,0.0,0.0
94,94,Alolan Graveler,1.0,Rock Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",1.0,110.0,Rock,Electric,0.0,0.0,0.0
95,95,Golem,1.0,Megaton Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",1.4,300.0,Rock,Ground,0.0,0.0,0.0
96,96,Alolan Golem,1.0,Megaton Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",1.7,316.0,Rock,Electric,0.0,0.0,0.0
97,97,Ponyta,1.0,Fire Horse Pokemon,"['Run Away', 'Flash Fire', 'Flame Body']",1.0,30.0,Fire,None,0.0,0.0,0.0
98,98,Galarian Ponyta,1.0,Unique Horn Pokemon,"['Run Away', 'Pastel Veil', 'Anticipation']",0.8,24.0,Psychic,None,0.0,0.0,0.0
99,99,Rapidash,1.0,Fire Horse Pokemon,"['Run Away', 'Flash Fire', 'Flame Body']",1.7,95.0,Fire,None,0.0,0.0,0.0
100,100,Galarian Rapidash,1.0,Unique Horn Pokemon,"['Run Away', 'Pastel Veil', 'Anticipation']",1.7,80.0,Psychic,Fairy,0.0,0.0,0.0
101,101,Slowpoke,1.0,Dopey Pokemon,"['Oblivious', 'Own Tempo', 'Regenerator']",1.2,36.0,Water,Psychic,0.0,0.0,0.0
102,102,Galarian Slowpoke,1.0,Dopey Pokemon,"['Gluttony', 'Own Tempo']",1.2,36.0,Psychic,None,0.0,0.0,0.0
103,103,Slowbro,1.0,Hermit Crab Pokemon,"['Oblivious', 'Own Tempo', 'Regenerator']",1.6,78.5,Water,Psychic,0.0,0.0,0.0
104,104,Mega Slowbro,1.0,Hermit Crab Pokemon,['Shell Armor'],2.0,120.0,Water,Psychic,0.0,0.0,1.0
105,105,Magnemite,1.0,Magnet Pokemon,"['Magnet Pull', 'Sturdy', 'Analytic']",0.3,6.0,Electric,Steel,0.0,0.0,0.0
106,106,Magneton,1.0,Magnet Pokemon,"['Magnet Pull', 'Sturdy', 'Analytic']",1.0,60.0,Electric,Steel,0.0,0.0,0.0
107,107,Farfetch'd,1.0,Wild Duck Pokemon,"['Keen Eye', 'Inner Focus', 'Defiant']",0.8,15.0,Normal,Flying,0.0,0.0,0.0
108,108,Doduo,1.0,Twin Bird Pokemon,"['Run Away', 'Early Bird', 'Tangled Feet']",1.4,39.2,Normal,Flying,0.0,0.0,0.0
109,109,Dodrio,1.0,Triple Bird Pokemon,"['Run Away', 'Early Bird', 'Tangled Feet']",1.8,85.2,Normal,Flying,0.0,0.0,0.0
110,110,Seel,1.0,Sea Lion Pokemon,"['Thick Fat', 'Hydration', 'Ice Body']",1.1,90.0,Water,None,0.0,0.0,0.0
111,111,Dewgong,1.0,Sea Lion Pokemon,"['Thick Fat', 'Hydration', 'Ice Body']",1.7,120.0,Water,Ice,0.0,0.0,0.0
112,112,Grimer,1.0,Sludge Pokemon,"['Stench', 'Sticky Hold', 'Poison Touch']",0.9,30.0,Poison,None,0.0,0.0,0.0
113,113,Alolan Grimer,1.0,Sludge Pokemon,"['Poison Touch', 'Gluttony', 'Power of Alchemy']",0.7,42.0,Poison,Dark,0.0,0.0,0.0
114,114,Muk,1.0,Sludge Pokemon,"['Stench', 'Sticky Hold', 'Poison Touch']",1.2,30.0,Poison,None,0.0,0.0,0.0
115,115,Alolan Muk,1.0,Sludge Pokemon,"['Poison Touch', 'Gluttony', 'Power of Alchemy']",1.0,52.0,Poison,Dark,0.0,0.0,0.0
116,116,Shellder,1.0,Bivalve Pokemon,"['Shell Armor', 'Skill Link', 'Overcoat']",0.3,4.0,Water,None,0.0,0.0,0.0
117,117,Cloyster,1.0,Bivalve Pokemon,"['Shell Armor', 'Skill Link', 'Overcoat']",1.5,132.5,Water,Ice,0.0,0.0,0.0
118,118,Gastly,1.0,Gas Pokemon,['Levitate'],1.3,0.1,Ghost,Poison,0.0,0.0,0.0
119,119,Haunter,1.0,Gas Pokemon,['Levitate'],1.6,0.1,Ghost,Poison,0.0,0.0,0.0
120,120,Gengar,1.0,Shadow Pokemon,['Cursed Body'],1.5,40.5,Ghost,Poison,0.0,0.0,0.0
121,121,Mega Gengar,1.0,Shadow Pokemon,['Shadow Tag'],1.4,40.5,Ghost,Poison,0.0,0.0,1.0
122,122,Onix,1.0,Rock Snake Pokemon,"['Rock Head', 'Sturdy', 'Weak Armor']",8.8,210.0,Rock,Ground,0.0,0.0,0.0
123,123,Drowzee,1.0,Hypnosis Pokemon,"['Insomnia', 'Forewarn', 'Inner Focus']",1.0,32.4,Psychic,None,0.0,0.0,0.0
124,124,Hypno,1.0,Hypnosis Pokemon,"['Insomnia', 'Forewarn', 'Inner Focus']",1.6,75.6,Psychic,None,0.0,0.0,0.0
125,125,Krabby,1.0,River Crab Pokemon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",0.4,6.5,Water,None,0.0,0.0,0.0
126,126,Kingler,1.0,Pincer Pokemon,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1.3,60.0,Water,None,0.0,0.0,0.0
127,127,Voltorb,1.0,Ball Pokemon,"['Soundproof', 'Static', 'Aftermath']",0.5,10.4,Electric,None,0.0,0.0,0.0
128,128,Electrode,1.0,Ball Pokemon,"['Soundproof', 'Static', 'Aftermath']",1.2,66.6,Electric,None,0.0,0.0,0.0
129,129,Exeggcute,1.0,Egg Pokemon,"['Chlorophyll', 'Harvest']",0.4,2.5,Grass,Psychic,0.0,0.0,0.0
130,130,Exeggutor,1.0,Coconut Pokemon,"['Chlorophyll', 'Harvest']",2.0,120.0,Grass,Psychic,0.0,0.0,0.0
131,131,Alolan Exeggutor,1.0,Coconut Pokemon,"['Frisk', 'Harvest']",10.9,415.6,Grass,Dragon,0.0,0.0,0.0
132,132,Cubone,1.0,Lonely Pokemon,"['Rock Head', 'Lightning Rod', 'Battle Armor']",0.4,6.5,Ground,None,0.0,0.0,0.0
133,133,Marowak,1.0,Bone Keeper Pokemon,"['Rock Head', 'Lightning Rod', 'Battle Armor']",1.0,45.0,Ground,None,0.0,0.0,0.0
134,134,Alolan Marowak,1.0,Bone Keeper Pokemon,"['Cursed Body', 'Lightning Rod', 'Rock Head']",1.0,34.0,Fire,Ghost,0.0,0.0,0.0
135,135,Hitmonlee,1.0,Kicking Pokemon,"['Limber', 'Reckless', 'Unburden']",1.5,49.8,Fighting,None,0.0,0.0,0.0
136,136,Hitmonchan,1.0,Punching Pokemon,"['Keen Eye', 'Iron Fist', 'Inner Focus']",1.4,50.2,Fighting,None,0.0,0.0,0.0
137,137,Lickitung,1.0,Licking Pokemon,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1.2,65.5,Normal,None,0.0,0.0,0.0
138,138,Koffing,1.0,Poison Gas Pokemon,"['Levitate', 'Neutralizing Gas', 'Stench']",0.6,1.0,Poison,None,0.0,0.0,0.0
139,139,Weezing,1.0,Poison Gas Pokemon,"['Levitate', 'Neutralizing Gas', 'Stench']",1.2,9.5,Poison,None,0.0,0.0,0.0
140,140,Galarian Weezing,1.0,Poison Gas Pokemon,"['Levitate', 'Neutralizing Gas', 'Misty Surge']",3.0,16.0,Poison,Fairy,0.0,0.0,0.0
141,141,Rhyhorn,1.0,Spikes Pokemon,"['Lightning Rod', 'Rock Head', 'Reckless']",1.0,115.0,Ground,Rock,0.0,0.0,0.0
142,142,Rhydon,1.0,Drill Pokemon,"['Lightning Rod', 'Rock Head', 'Reckless']",1.9,120.0,Ground,Rock,0.0,0.0,0.0
143,143,Chansey,1.0,Egg Pokemon,"['Natural Cure', 'Serene Grace', 'Healer']",1.1,34.6,Normal,None,0.0,0.0,0.0
144,144,Tangela,1.0,Vine Pokemon,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",1.0,35.0,Grass,None,0.0,0.0,0.0
145,145,Kangaskhan,1.0,Parent Pokemon,"['Early Bird', 'Scrappy', 'Inner Focus']",2.2,80.0,Normal,None,0.0,0.0,0.0
146,146,Mega Kangaskhan,1.0,Parent Pokemon,['Parental Bond'],2.2,100.0,Normal,None,0.0,0.0,1.0
147,147,Horsea,1.0,Dragon Pokemon,"['Swift Swim', 'Sniper', 'Damp']",0.4,8.0,Water,None,0.0,0.0,0.0
148,148,Seadra,1.0,Dragon Pokemon,"['Poison Point', 'Sniper', 'Damp']",1.2,25.0,Water,None,0.0,0.0,0.0
149,149,Goldeen,1.0,Goldfish Pokemon,"['Swift Swim', 'Water Veil', 'Lightning Rod']",0.6,15.0,Water,None,0.0,0.0,0.0
150,150,Seaking,1.0,Goldfish Pokemon,"['Swift Swim', 'Water Veil', 'Lightning Rod']",1.3,39.0,Water,None,0.0,0.0,0.0
151,151,Staryu,1.0,Star Shape Pokemon,"['Illuminate', 'Natural Cure', 'Analytic']",0.8,34.5,Water,None,0.0,0.0,0.0
152,152,Starmie,1.0,Mysterious Pokemon,"['Illuminate', 'Natural Cure', 'Analytic']",1.1,80.0,Water,Psychic,0.0,0.0,0.0
153,153,Mr. Mime,1.0,Barrier Pokemon,"['Soundproof', 'Filter', 'Technician']",1.3,54.5,Psychic,Fairy,0.0,0.0,0.0
154,154,Scyther,1.0,Mantis Pokemon,"['Swarm', 'Technician', 'Steadfast']",1.5,56.0,Bug,Flying,0.0,0.0,0.0
155,155,Jynx,1.0,Human Shape Pokemon,"['Oblivious', 'Forewarn', 'Dry Skin']",1.4,40.6,Ice,Psychic,0.0,0.0,0.0
156,156,Electabuzz,1.0,Electric Pokemon,"['Static', 'Vital Spirit']",1.1,30.0,Electric,None,0.0,0.0,0.0
157,157,Magmar,1.0,Spitfire Pokemon,"['Flame Body', 'Vital Spirit']",1.3,44.5,Fire,None,0.0,0.0,0.0
158,158,Pinsir,1.0,Stag Beetle Pokemon,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1.5,55.0,Bug,None,0.0,0.0,0.0
159,159,Mega Pinsir,1.0,Stag Beetle Pokemon,['Aerilate'],1.7,59.0,Bug,Flying,0.0,0.0,1.0
160,160,Tauros,1.0,Wild Bull Pokemon,"['Intimidate', 'Anger Point', 'Sheer Force']",1.4,88.4,Normal,None,0.0,0.0,0.0
161,161,Magikarp,1.0,Fish Pokemon,"['Swift Swim', 'Rattled']",0.9,10.0,Water,None,0.0,0.0,0.0
162,162,Gyarados,1.0,Atrocious Pokemon,"['Intimidate', 'Moxie']",6.5,235.0,Water,Flying,0.0,0.0,0.0
163,163,Mega Gyarados,1.0,Atrocious Pokemon,['Mold Breaker'],6.5,305.0,Water,Dark,0.0,0.0,0.0
164,164,Lapras,1.0,Transport Pokemon,"['Water Absorb', 'Shell Armor', 'Hydration']",2.5,220.0,Water,Ice,0.0,0.0,0.0
165,165,Ditto,1.0,Transform Pokemon,"['Limber', 'Imposter']",0.3,4.0,Normal,None,0.0,0.0,0.0
166,166,Eevee,1.0,Evolution Pokemon,"['Run Away', 'Adaptability', 'Anticipation']",0.3,6.5,Normal,None,0.0,0.0,0.0
167,167,Vaporeon,1.0,Bubble Jet Pokemon,"['Water Absorb', 'Hydration']",1.0,29.0,Water,None,0.0,0.0,0.0
168,168,Jolteon,1.0,Lightning Pokemon,"['Volt Absorb', 'Quick Feet']",0.8,24.5,Electric,None,0.0,0.0,0.0
169,169,Flareon,1.0,Flame Pokemon,"['Flash Fire', 'Guts']",0.9,25.0,Fire,None,0.0,0.0,0.0
170,170,Porygon,1.0,Virtual Pokemon,"['Trace', 'Download', 'Analytic']",0.8,36.5,Normal,None,0.0,0.0,0.0
171,171,Omanyte,1.0,Spiral Pokemon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",0.4,7.5,Rock,Water,0.0,0.0,0.0
172,172,Omastar,1.0,Spiral Pokemon,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,35.0,Rock,Water,0.0,0.0,0.0
173,173,Kabuto,1.0,Shellfish Pokemon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",0.5,11.5,Rock,Water,0.0,0.0,0.0
174,174,Kabutops,1.0,Shellfish Pokemon,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.3,40.5,Rock,Water,0.0,0.0,0.0
175,175,Aerodactyl,1.0,Fossil Pokemon,"['Rock Head', 'Pressure', 'Unnerve']",1.8,59.0,Rock,Flying,0.0,0.0,0.0
176,176,Mega Aerodactyl,1.0,Fossil Pokemon,['Tough Claws'],2.1,79.0,Rock,Flying,0.0,0.0,1.0
177,177,Snorlax,1.0,Sleeping Pokemon,"['Immunity', 'Thick Fat', 'Gluttony']",2.1,460.0,Normal,None,0.0,0.0,0.0
178,178,Articuno,1.0,Freeze Pokemon,"['Pressure', 'Snow Cloak']",1.7,55.4,Ice,Flying,1.0,0.0,0.0
179,179,Zapdos,1.0,Electric Pokemon,"['Pressure', 'Static']",1.6,52.6,Electric,Flying,1.0,0.0,0.0
180,180,Moltres,1.0,Flame Pokemon,"['Pressure', 'Flame Body']",2.0,60.0,Fire,Flying,1.0,0.0,0.0
181,181,Dratini,1.0,Dragon Pokemon,"['Shed Skin', 'Marvel Scale']",1.8,3.3,Dragon,None,0.0,0.0,0.0
182,182,Dragonair,1.0,Dragon Pokemon,"['Shed Skin', 'Marvel Scale']",4.0,16.5,Dragon,None,0.0,0.0,0.0
183,183,Dragonite,1.0,Dragon Pokemon,"['Inner Focus', 'Multiscale']",2.2,210.0,Dragon,Flying,0.0,0.0,0.0
184,184,Mewtwo,1.0,Genetic Pokemon,"['Pressure', 'Unnerve']",2.0,122.0,Psychic,None,1.0,0.0,0.0
185,185,Mega Mewtwo X,1.0,Genetic Pokemon,['Steadfast'],2.3,127.0,Psychic,Fighting,1.0,0.0,1.0
186,186,Mega Mewtwo Y,1.0,Genetic Pokemon,['Insomnia'],1.5,33.0,Psychic,None,1.0,0.0,1.0
187,187,Mew,1.0,New Species Pokemon,['Synchronize'],0.4,4.0,Psychic,None,0.0,1.0,0.0
188,188,Chikorita,2.0,Leaf Pokemon,"['Overgrow', 'Leaf Guard']",0.9,6.4,Grass,None,0.0,0.0,0.0
