CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
toyota,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,,ohc,4.0,98.0,2bbl,9.0,70.0,4800,28,34,8358
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,52.8,,ohc,4.0,98.0,2bbl,9.0,70.0,4800,28,34,9258
toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64.0,52.6,,ohc,4.0,98.0,2bbl,9.0,70.0,4800,29,34,8058
toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64.0,52.6,,ohc,4.0,98.0,2bbl,9.0,70.0,4800,29,34,8238
buick,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,,ohc,5.0,183.0,idi,21.5,123.0,4350,22,25,31600
buick,gas,std,4,sedan,rwd,front,115.6,202.6,71.7,56.5,,ohcv,8.0,234.0,mpfi,8.3,155.0,4750,16,18,34184
toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64.0,52.6,,dohc,4.0,98.0,mpfi,9.4,112.0,6600,26,29,9298
toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64.0,52.6,,dohc,4.0,98.0,mpfi,9.4,112.0,6600,26,29,9538
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,8449
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,9639
toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551.0,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,9989
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679.0,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,11199
toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714.0,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,11549
toyota,gas,std,2,convertible,rwd,front,98.4,176.2,65.6,53.0,2975.0,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,17669
toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326.0,ohc,4.0,122.0,mpfi,8.7,92.0,4200,29,34,8948
toyota,diesel,turbo,4,sedan,fwd,front,102.4,175.6,66.5,54.9,,ohc,4.0,110.0,idi,22.5,73.0,4500,30,33,10698
toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,,ohc,4.0,122.0,mpfi,8.7,92.0,4200,27,32,9988
toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,,ohc,4.0,122.0,mpfi,8.7,92.0,4200,27,32,10898
toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,,ohc,4.0,122.0,mpfi,8.7,92.0,4200,27,32,11248
toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52.0,,dohc,6.0,171.0,mpfi,9.3,161.0,5200,20,24,16558
toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016.0,,,,mpfi,9.3,161.0,5200,19,24,15998
toyota,gas,std,4,sedan,rwd,front,104.5,187.8,66.5,54.1,3131.0,,,,mpfi,9.2,156.0,5200,20,24,15690
toyota,gas,std,4,wagon,rwd,front,104.5,187.8,66.5,54.1,3151.0,,,,mpfi,9.2,156.0,5200,19,24,15750
volkswagen,diesel,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2261.0,ohc,4.0,97.0,idi,23.0,52.0,4800,37,46,7775
volkswagen,gas,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,,ohc,4.0,109.0,mpfi,9.0,85.0,5250,27,34,7975
toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714.0,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,11549
toyota,gas,std,2,convertible,rwd,front,98.4,176.2,65.6,53.0,2975.0,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,17669
toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326.0,ohc,4.0,122.0,mpfi,8.7,92.0,4200,29,34,8948
volkswagen,diesel,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2264.0,ohc,4.0,97.0,idi,23.0,52.0,4800,37,46,7995
volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2212.0,ohc,4.0,109.0,mpfi,9.0,85.0,5250,27,34,8195
volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,,ohc,4.0,109.0,mpfi,9.0,85.0,5250,27,34,8495
volkswagen,diesel,turbo,4,sedan,fwd,,97.3,171.7,65.5,55.7,,ohc,4.0,97.0,idi,23.0,68.0,4500,37,42,9495
volkswagen,gas,std,4,sedan,fwd,,97.3,171.7,65.5,55.7,,ohc,4.0,109.0,mpfi,10.0,100.0,5500,26,32,9995
volkswagen,,std,2,convertible,fwd,front,94.5,159.3,64.2,55.6,,ohc,4.0,109.0,mpfi,8.5,90.0,5500,24,29,11595
toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52.0,,,,,mpfi,9.3,161.0,5200,19,24,15998
toyota,gas,std,4,sedan,rwd,front,104.5,187.8,66.5,54.1,,,,,mpfi,9.2,156.0,5200,20,24,15690
volkswagen,gas,std,2,hatchback,fwd,front,94.5,165.7,64.0,51.4,,ohc,4.0,109.0,mpfi,8.5,,5500,24,29,9980
volkswagen,gas,std,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2661.0,ohc,5.0,136.0,mpfi,8.5,110.0,5500,19,24,13295
volkswagen,diesel,turbo,4,sedan,fwd,front,100.4,180.2,66.9,55.1,,ohc,4.0,97.0,idi,23.0,68.0,4500,33,38,13845
volkswagen,gas,std,4,wagon,fwd,front,100.4,183.1,66.9,55.1,,ohc,4.0,109.0,mpfi,9.0,88.0,5500,25,31,12290
volvo,gas,std,4,sedan,rwd,front,104.3,188.8,67.2,56.2,,ohc,4.0,141.0,mpfi,9.5,114.0,5400,23,28,12940
volvo,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,,ohc,4.0,141.0,mpfi,9.5,114.0,5400,23,28,13415
volvo,gas,std,4,sedan,rwd,front,104.3,188.8,67.2,56.2,,ohc,4.0,141.0,mpfi,9.5,114.0,5400,24,28,15985
volvo,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,,ohc,4.0,141.0,mpfi,9.5,114.0,5400,24,28,16515
volvo,gas,turbo,4,sedan,rwd,front,104.3,188.8,67.2,56.2,,ohc,4.0,130.0,mpfi,7.5,162.0,5100,17,22,18420
volvo,gas,turbo,4,wagon,rwd,front,104.3,,,,,ohc,4.0,130.0,mpfi,7.5,162.0,5100,17,22,18950
subaru,gas,std,4,wagon,,,96.9,173.6,65.4,54.9,2420.0,ohcf,4.0,108.0,2bbl,9.0,82.0,4800,23,29,8013
subaru,gas,turbo,4,wagon,,,96.9,173.6,65.4,54.9,,ohcf,4.0,108.0,mpfi,7.7,111.0,4800,23,23,11694
toyota,gas,std,2,hatchback,,,95.7,158.7,63.6,54.5,,ohc,4.0,92.0,2bbl,9.0,62.0,4800,35,39,5348
plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,,ohc,4.0,90.0,2bbl,9.4,68.0,5500,31,38,6692
toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714.0,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,11549
toyota,gas,std,2,convertible,rwd,front,98.4,176.2,65.6,53.0,2975.0,ohc,4.0,146.0,mpfi,9.3,116.0,4800,24,30,17669
toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326.0,ohc,4.0,122.0,mpfi,8.7,92.0,4200,29,34,8948
subaru,gas,std,4,sedan,,,97.2,172.0,65.4,52.5,2190.0,ohcf,4.0,108.0,2bbl,9.5,82.0,4400,28,33,7775
subaru,gas,std,4,sedan,,,97.2,172.0,65.4,52.5,2340.0,ohcf,4.0,108.0,mpfi,9.0,94.0,5200,26,32,9960
volvo,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,2952.0,ohc,4.0,141.0,mpfi,9.5,114.0,5400,23,28,16845
volvo,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.8,55.5,3049.0,ohc,4.0,141.0,mpfi,8.7,160.0,5300,19,25,19045
volvo,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3012.0,ohcv,6.0,173.0,mpfi,8.8,134.0,5500,18,23,21485
volvo,diesel,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3217.0,ohc,6.0,145.0,idi,23.0,106.0,4800,26,27,22470
volvo,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3062.0,ohc,4.0,141.0,mpfi,9.5,114.0,5400,19,25,22625
