Longitude,Latitude,TotalRooms,TotalBedrooms,Population,Households,HousingMedianAge,MedianIncome,OceanProximity,TargetMedianHouseValue,TargetLogistic,TargetSoftmax
-118.47,34.19,3879,943,2113,843,33,3.892,<1H OCEAN,292900,1,2
-117.34,34.13,331,85,341,107,29,0.7069,INLAND,70300,0,0
-118.14,33.78,2101,496,1038,500,44,3.108,NEAR OCEAN,217900,1,1
-121.39,38.6,5773,1320,2607,1250,22,2.5238,INLAND,118800,0,0
-118.38,34.3,1622,355,903,314,39,4.1125,<1H OCEAN,183000,1,1
-122.78,39.05,1601,323,661,269,15,2.6181,INLAND,108900,0,0
-118.61,34.38,5989,883,1787,613,2,6.6916,INLAND,329500,1,2
-122.21,37.78,1702,460,1227,407,43,1.7188,NEAR BAY,126800,0,0
-118.49,34.15,2829,360,1010,363,33,10.3587,<1H OCEAN,500001,1,2
-121.56,39.53,1733,421,1861,415,12,1.5771,INLAND,65200,0,0
-118.45,34,1606,408,862,354,43,3.962,<1H OCEAN,345800,1,2
-117.15,32.91,2349,431,1598,435,10,4.8229,<1H OCEAN,183200,1,1
-122.49,37.86,2175,510,809,503,52,4.5398,NEAR BAY,442000,1,2
-122.41,37.62,3119,758,1807,696,39,3.2216,NEAR OCEAN,242700,1,2
-121.96,39.3,701,130,271,89,39,2.1845,INLAND,112500,0,0
-122.44,37.79,1447,186,483,181,52,15.0001,NEAR BAY,500001,1,2
-122.03,37.98,2842,567,1261,535,45,3.6042,NEAR BAY,138200,0,0
-119.25,36.27,1494,275,678,235,23,2.6875,INLAND,69100,0,0
-122.47,37.78,3021,569,1479,514,52,4.0208,NEAR BAY,414600,1,2
-118.3,33.95,2057,550,1805,506,41,1.2455,<1H OCEAN,100800,0,0
-120.78,38.74,4236,877,2008,881,28,2.1603,INLAND,111300,0,0
-119.93,37.85,473,115,88,41,18,4.0833,INLAND,137500,0,0
-118.21,34.13,2465,611,1433,570,52,3.25,<1H OCEAN,214200,1,1
-116.97,33.94,3197,632,1722,603,29,3.0432,INLAND,91200,0,0
-118.41,33.97,1629,275,668,266,37,6.1333,<1H OCEAN,387200,1,2
-119.77,36.81,1713,302,663,282,28,3.567,INLAND,85500,0,0
-118.09,34.02,1984,313,1099,343,28,4.5526,<1H OCEAN,250200,1,2
-116.53,33.84,8399,1839,3470,1340,28,2.5885,INLAND,159000,0,1
-118.15,33.96,1201,340,1482,334,33,2.4821,<1H OCEAN,150000,0,1
-121.61,39.13,2559,539,1583,504,33,1.4727,INLAND,53000,0,0
-118.93,36.19,2685,546,951,523,30,2.6184,INLAND,113900,0,0
-118.33,34.02,1528,391,933,366,46,2.1979,<1H OCEAN,125700,0,0
-120.79,37.82,4227,729,1809,679,17,3.2667,INLAND,269500,1,2
-121.53,38.58,1316,321,732,336,35,2.1213,INLAND,79200,0,0
-117.95,34.03,1782,394,1517,376,33,3.3389,<1H OCEAN,157900,0,1
-117.73,33.57,11976,2495,4327,2009,5,4.8488,<1H OCEAN,194400,1,1
-117.88,33.75,1823,590,2176,548,10,1.5026,<1H OCEAN,151800,0,1
-121.4,38.61,3512,825,1515,782,33,1.9908,INLAND,118800,0,0
-122.23,37.8,1192,289,772,257,52,2.3833,NEAR BAY,146900,0,1
-119.18,34.26,2334,359,1298,363,22,5.5275,NEAR OCEAN,228900,1,1
-118.18,33.9,1452,365,1888,366,32,3.5461,<1H OCEAN,146400,0,1
-119.68,36.62,834,229,616,211,31,1.6602,INLAND,61200,0,0
-117.18,32.76,3694,997,1297,807,8,3.6492,NEAR OCEAN,158900,0,1
-118.37,34.08,1234,223,543,213,52,6.0338,<1H OCEAN,423700,1,2
-118.36,34.09,3463,1170,1845,1134,33,2.0205,<1H OCEAN,243800,1,2
-117.22,32.83,1124,187,553,205,17,5.7451,NEAR OCEAN,237300,1,2
-122.34,37.94,1611,455,786,411,31,1.681,NEAR BAY,145500,0,1
-121.82,37.25,3344,531,1768,541,24,5.8305,<1H OCEAN,245600,1,2
-118.29,33.93,3894,1017,3590,962,31,2.0437,<1H OCEAN,137200,0,0
-118.44,34.19,3487,959,2278,835,19,2.6709,<1H OCEAN,215500,1,1
-118.3,33.73,2582,606,1304,588,40,3.5694,NEAR OCEAN,276400,1,2
-119.79,36.72,1719,391,1369,368,19,1.25,INLAND,53000,0,0
-117.64,33.64,2422,429,810,395,11,6.1935,<1H OCEAN,293200,1,2
-117.57,33.88,679,164,769,179,39,2.3036,INLAND,110600,0,0
-118.12,34.7,4915,885,2833,874,7,4.3229,INLAND,130000,0,0
-119.26,34.46,3826,691,1656,657,30,4.0074,<1H OCEAN,434700,1,2
-118.57,34.23,3275,648,1746,585,22,4.9676,<1H OCEAN,221900,1,1
-118.23,34.13,1799,426,1088,417,37,2.975,<1H OCEAN,244500,1,2
-117.04,32.77,7963,1881,3769,1804,16,2.9624,<1H OCEAN,144700,0,1
-117.09,32.7,869,217,887,216,15,1.4583,NEAR OCEAN,84200,0,0
-119.63,36.76,4126,614,1795,613,22,4.925,INLAND,154700,0,1
-118.11,33.78,3985,567,1327,564,16,7.9767,<1H OCEAN,500001,1,2
-122.07,37.31,4401,698,1818,685,24,7.2986,<1H OCEAN,500001,1,2
-122.18,37.41,1034,117,323,117,21,10.7237,NEAR OCEAN,500001,1,2
-118.3,34.08,2880,1063,3646,1028,32,2.3846,<1H OCEAN,258300,1,2
-117.13,32.76,1591,461,794,425,33,2.6333,NEAR OCEAN,140000,0,0
-117.21,33.93,10002,1468,5439,1397,4,5.0223,INLAND,152600,0,1
-118.14,33.97,1846,530,2576,528,29,2.63,<1H OCEAN,156000,0,1
-122.54,37.88,4382,732,1775,745,30,6.7809,NEAR BAY,414400,1,2
-118.26,34.18,14556,2077,5459,2017,32,8.1657,<1H OCEAN,500001,1,2
-118.26,34.15,3340,945,2315,846,6,2.8884,<1H OCEAN,252300,1,2
-122.45,38.01,4501,832,2196,800,36,4.3182,NEAR BAY,252700,1,2
-120.83,37.51,3795,604,1639,609,13,4.6635,INLAND,198400,1,1
-121.4,38.57,2022,295,639,278,25,5.8416,INLAND,297600,1,2
-121.98,37.95,2984,406,1317,397,16,6.7821,INLAND,265900,1,2
-120.61,37.03,1841,354,1019,356,34,1.7841,INLAND,67500,0,0
-118.3,34.07,5221,2530,5840,2374,28,1.8829,<1H OCEAN,300000,1,2
-118.07,34.58,3416,601,1929,567,34,4.0147,INLAND,107400,0,0
-118.41,33.92,2340,584,1141,554,22,4.5729,<1H OCEAN,337500,1,2
-117.16,32.73,1682,617,873,534,52,2.0972,NEAR OCEAN,112500,0,0
-120.08,39.61,1404,247,544,201,32,2.7778,INLAND,72900,0,0
-119.65,36.33,1059,268,693,241,47,1.3882,INLAND,53800,0,0
-119.17,34.29,731,155,285,162,28,3.2917,NEAR OCEAN,225000,1,1
-118.4,34.21,972,181,554,187,45,4.8194,<1H OCEAN,181300,1,1
-122.45,40.61,785,155,417,136,17,2.3289,INLAND,58200,0,0
-118.18,33.78,1697,550,1379,434,36,1.2746,NEAR OCEAN,129700,0,0
-122.9,39.09,2483,544,835,380,15,1.9141,INLAND,143200,0,1
-118.29,34.09,2198,998,3441,912,35,2.0467,<1H OCEAN,158300,0,1
-118.4,34,2122,385,1012,367,44,4.6687,<1H OCEAN,344300,1,2
-117.14,32.71,719,251,894,208,32,1.8456,NEAR OCEAN,103100,0,0
-118.43,34.2,4090,1271,2824,1053,20,2.773,<1H OCEAN,140500,0,0
-118.04,34.12,2522,380,1113,357,39,5.2249,INLAND,445200,1,2
-118.34,34.15,1586,377,625,344,16,4.0893,<1H OCEAN,450000,1,2
-117.78,33.97,556,63,179,54,2,8.4411,<1H OCEAN,500001,1,2
-117.94,33.89,2577,404,1076,374,30,6.7528,<1H OCEAN,459600,1,2
-121.66,36.37,1580,287,465,208,9,6.1668,<1H OCEAN,405800,1,2
-122.03,37.6,2077,383,1488,389,24,4.5721,NEAR BAY,214700,1,1
-121.93,37.32,2711,728,1607,724,51,3,<1H OCEAN,184700,1,1
-119.99,38.88,2807,529,675,251,17,2.7457,INLAND,107800,0,0
-119.84,36.77,1853,473,1397,417,6,1.4817,INLAND,72000,0,0
-120.55,37.32,1410,229,590,205,21,3.3194,INLAND,141400,0,0
-117.97,33.82,4013,985,2442,922,26,3.7655,<1H OCEAN,197700,1,1
-122.27,37.85,2077,400,719,326,47,2.2431,NEAR BAY,172700,0,1
-117.23,32.88,5566,1465,6303,1458,18,1.858,NEAR OCEAN,205000,1,1
-121.11,39.09,1000,197,508,190,16,2.3062,INLAND,138800,0,0
-117.05,34.04,3967,766,1518,698,23,2.29,INLAND,111800,0,0
-118.29,34.04,1353,488,1945,487,48,2.4359,<1H OCEAN,123700,0,0
-117.09,32.76,1922,577,1595,545,10,1.5208,NEAR OCEAN,118800,0,0
-121.82,36.95,2599,430,1417,445,16,4.6611,<1H OCEAN,349300,1,2
-122.01,38.44,2344,354,1035,321,12,4.9773,INLAND,281200,1,2
-122.2,37.84,2211,346,844,343,30,6.0666,NEAR BAY,311500,1,2
-118.25,33.9,1135,231,614,227,36,2.5521,<1H OCEAN,113100,0,0
-117.88,33.69,5330,976,2734,1000,20,5.2138,<1H OCEAN,233100,1,1
-117.12,32.75,2795,773,1869,690,13,2.1767,NEAR OCEAN,101800,0,0
-119.02,35.35,1239,251,776,272,42,1.983,INLAND,63300,0,0
-116.22,33.74,4120,858,2918,815,26,3.3107,INLAND,69400,0,0
-118.97,35.39,2121,433,1547,441,38,2.774,INLAND,59500,0,0
-118.02,34.12,1778,288,870,281,38,6.5784,INLAND,408500,1,2
-117.99,33.76,1572,362,1351,359,30,3.369,<1H OCEAN,190900,1,1
-116.37,33.72,6190,1355,2242,1043,19,3.0021,INLAND,152300,0,1
-122.65,38.99,4279,951,1596,666,16,1.8571,INLAND,75900,0,0
-121.26,38.11,2770,642,1611,633,8,3.1284,INLAND,115100,0,0
-122.5,37.76,2226,480,1272,468,46,4.2644,NEAR OCEAN,284100,1,2
-121.84,37.27,2429,387,1293,363,16,5.5,<1H OCEAN,253200,1,2
-117.13,32.91,3230,579,1825,576,16,4.2969,<1H OCEAN,151200,0,1
-118.27,34.09,3225,763,1559,710,52,3.9674,<1H OCEAN,268800,1,2
-122.3,38.28,1633,316,944,300,31,3.3977,NEAR BAY,158700,0,1
-118.34,34.06,1311,310,707,290,52,3.4812,<1H OCEAN,432800,1,2
-121.39,38.67,562,174,240,106,35,0.9338,INLAND,112500,0,0
-122.04,37.88,3250,550,1230,557,32,4.6424,NEAR BAY,312700,1,2
-122.27,37.85,1639,367,929,366,42,1.7135,NEAR BAY,159800,0,1
-117.31,34.15,5747,1307,2578,1147,7,3.3281,INLAND,122200,0,0
-117.18,32.7,1691,286,761,281,42,5.1386,NEAR OCEAN,404500,1,2
-121.7,37.93,3258,612,1779,558,10,4.6587,INLAND,152500,0,1
-121.6,39.76,2447,556,1157,556,22,1.8245,INLAND,85500,0,0
-122.2,37.78,2300,443,1225,423,52,3.5398,NEAR BAY,158400,0,1
-118.35,34,2894,395,1063,409,40,6.939,<1H OCEAN,372000,1,2
-119.19,36.06,1815,376,1421,339,29,1.9091,INLAND,71300,0,0
-118.2,34.05,1165,317,1279,303,43,1.9615,<1H OCEAN,141700,0,0
-117.97,33.89,923,136,420,130,14,10.2252,<1H OCEAN,462800,1,2
-118.43,33.99,2483,548,1212,493,43,4.0189,<1H OCEAN,302900,1,2
-117.75,33.54,8711,1544,3173,1396,21,5.0907,<1H OCEAN,378200,1,2
-118.12,34.11,2787,353,1057,364,52,10.2317,<1H OCEAN,500001,1,2
-118.49,34.24,2707,446,1224,445,35,5.2939,<1H OCEAN,244200,1,2
-119.06,34.62,416,110,436,70,10,2.2222,<1H OCEAN,262500,1,2
-121.43,38.62,1765,438,1008,382,36,2.0639,INLAND,73000,0,0
-121.37,38.62,1743,380,697,368,27,1.6678,INLAND,166100,0,1
-121.79,37.32,2850,561,2160,581,6,5.5336,<1H OCEAN,241900,1,2
-120.35,37.98,1658,301,676,278,4,3.5714,INLAND,149500,0,1
-119.69,36.81,2892,496,1634,501,15,4.4934,INLAND,88000,0,0
-118.21,34.16,434,74,199,75,25,5.9199,<1H OCEAN,420500,1,2
-124.02,40.8,2588,435,1198,442,22,3.9792,<1H OCEAN,133900,0,0
-117.32,34.48,4627,887,2739,846,8,3.0204,INLAND,93100,0,0
-118.52,34.19,1560,275,763,284,37,3.8516,<1H OCEAN,206900,1,1
-118.4,34.13,8262,1156,2712,1125,32,10.5575,<1H OCEAN,500001,1,2
-122.27,37.86,2052,435,924,414,49,2.5417,NEAR BAY,182700,1,1
-122.46,37.7,876,216,713,203,42,3.84,NEAR OCEAN,235900,1,2
-122.05,37.38,1875,340,816,350,29,5.4351,<1H OCEAN,336500,1,2
-121.32,38.62,2430,448,1087,394,29,3.0864,INLAND,177900,0,1
-121.79,37.67,2163,339,947,346,26,6.0797,INLAND,211000,1,1
-122.43,37.76,3771,1017,1575,921,52,3.5655,NEAR BAY,427300,1,2
-118.14,33.78,1898,488,940,483,42,3.4107,NEAR OCEAN,233300,1,1
-116.9,34.25,3018,523,556,244,16,3.5288,INLAND,189700,1,1
-122.7,38.33,1584,295,846,295,26,3.375,<1H OCEAN,156300,0,1
-117.01,32.99,3372,430,1536,448,8,8.4284,<1H OCEAN,378300,1,2
-119.68,34.42,1452,354,1139,340,38,2.707,<1H OCEAN,236800,1,2
-117.93,33.77,3157,582,1842,561,36,4.5833,<1H OCEAN,190700,1,1
-117.05,33.14,4552,1166,2737,1051,16,2.25,<1H OCEAN,136300,0,0
-122.09,37.6,385,94,295,92,36,2.9706,NEAR BAY,147900,0,1
-117.37,33.97,1156,241,877,200,38,1.4514,INLAND,79900,0,0
-117.89,34.12,1470,241,885,246,35,4.9239,<1H OCEAN,168800,0,1
-122.45,37.77,2602,,1330,647,52,3.5435,NEAR BAY,278600,1,2
-117.95,33.74,2768,600,1182,563,16,3.7162,<1H OCEAN,201200,1,1
-122.36,37.54,6184,747,2165,700,23,10.1675,NEAR OCEAN,500001,1,2
-122.71,38.44,988,283,475,242,52,1.3684,<1H OCEAN,258300,1,2
-118,33.76,1876,455,1499,436,26,2.925,<1H OCEAN,176000,0,1
-119.02,35.42,1912,439,1015,413,40,1.4598,INLAND,52600,0,0
-121.81,37.31,1794,366,1533,371,15,5.7843,<1H OCEAN,209900,1,1
-117.16,32.8,1399,329,1308,355,25,2.5682,NEAR OCEAN,187500,1,1
-117.99,33.75,3024,754,2357,743,22,3.3125,<1H OCEAN,191800,1,1
-118.36,34.17,1939,505,1584,466,31,2.5234,<1H OCEAN,199500,1,1
-121.99,36.96,1275,272,451,200,42,4.7321,NEAR OCEAN,422400,1,2
-124.08,41.36,1029,239,509,196,29,2.0156,NEAR OCEAN,62800,0,0
-120.01,38.91,968,191,283,143,27,2.0938,INLAND,94400,0,0
-122.49,37.73,1399,224,530,235,37,3.9219,NEAR OCEAN,433300,1,2
-117.32,33.22,4784,1039,1810,986,15,2.4375,NEAR OCEAN,108900,0,0
-117.79,34.02,18690,2862,9427,2777,5,6.4266,<1H OCEAN,315600,1,2
-117.43,33.98,2634,421,1376,406,21,4.2589,INLAND,152200,0,1
-118.56,34.18,1366,224,719,270,36,4.8264,<1H OCEAN,251000,1,2
-122.03,37.61,1409,271,1002,281,36,3.7262,NEAR BAY,164900,0,1
-121.94,37.75,2559,370,1238,377,17,6.2781,<1H OCEAN,269800,1,2
-117.87,34.12,2059,361,1073,339,33,4.2454,<1H OCEAN,183800,1,1
-123.71,39.88,1518,383,656,303,42,1.4952,NEAR OCEAN,69800,0,0
-119.32,36.32,2409,436,1142,440,29,3.6895,INLAND,87700,0,0
-118.41,34.07,2979,626,1076,571,47,3.9904,<1H OCEAN,500001,1,2
-117.96,33.8,729,131,488,139,30,4.7667,<1H OCEAN,195200,1,1
-117.14,32.72,2533,862,2011,778,34,2.1199,NEAR OCEAN,160400,0,1
-121.28,38.77,3819,550,1738,587,6,5.8718,INLAND,201400,1,1
-118.25,34.23,1954,368,967,370,37,5.0862,<1H OCEAN,261300,1,2
-119.94,38.96,1451,386,467,255,20,1.5536,INLAND,212500,1,1
-117.07,33.11,5565,1237,3004,1139,17,3.0054,<1H OCEAN,142300,0,0
-118.13,34.16,2682,716,2050,692,33,2.4817,<1H OCEAN,169500,0,1
-117.28,34.41,2105,396,960,396,14,2.9934,INLAND,118200,0,0
-122.49,37.77,2342,458,1170,458,52,3.7036,NEAR BAY,369200,1,2
-118.22,33.86,8732,1489,3944,1493,16,5.1948,<1H OCEAN,203500,1,1
-119.76,36.75,1607,383,1407,382,35,2.19,INLAND,53400,0,0
-119.21,34.12,5778,1285,1722,829,15,4.3427,NEAR OCEAN,305800,1,2
-121.18,37.64,1244,209,611,197,43,2.875,INLAND,187500,1,1
-118.18,33.83,1497,277,542,274,44,5.0052,NEAR OCEAN,321800,1,2
-122.63,38.21,2933,461,1283,449,22,6.2034,<1H OCEAN,291100,1,2
-122.19,37.77,1852,393,1132,349,45,2.7159,NEAR BAY,101400,0,0
-119.75,34.45,2864,,1404,603,6,5.5073,NEAR OCEAN,263800,1,2
-123.8,39.44,1533,336,754,340,52,1.9213,<1H OCEAN,95000,0,0
-120.93,38.65,2213,384,1097,351,12,4.5568,INLAND,170100,0,1
-123.48,40.79,619,160,287,104,15,1.9107,INLAND,79200,0,0
-117.56,33.88,1196,294,1052,258,40,2.0682,INLAND,113000,0,0
-120.64,35.26,3298,716,1862,687,21,2.1507,NEAR OCEAN,221500,1,1
-118.18,33.78,1180,381,1046,332,52,1.5603,NEAR OCEAN,162500,0,1
-121.08,37.69,6473,1212,3559,1123,19,3.2246,INLAND,129300,0,0
-121.37,38.01,2430,315,1016,314,15,10.0088,INLAND,242000,1,2
-118.37,34.2,1438,309,1378,306,33,2.8917,<1H OCEAN,170400,0,1
-118.4,33.96,2416,454,1028,409,43,5.6732,<1H OCEAN,330700,1,2
-118.33,33.86,914,176,519,174,38,6.0335,<1H OCEAN,255400,1,2
-121.27,37.96,583,114,310,93,52,2.5625,INLAND,54200,0,0
-122.49,37.79,3146,478,1143,455,52,6.1407,NEAR BAY,500001,1,2
-123.22,39.15,1166,216,504,203,36,3.5938,<1H OCEAN,122100,0,0
-121.93,37.24,2574,414,1096,428,26,6.0738,<1H OCEAN,335900,1,2
-117.66,34.07,2081,409,1008,375,33,2.587,INLAND,138100,0,0
-118.38,33.87,2387,418,1008,415,23,5.8518,<1H OCEAN,337900,1,2
-117.09,32.64,2095,536,1240,550,38,2.7218,NEAR OCEAN,145900,0,1
-122.18,37.88,542,119,231,121,36,4.9,NEAR BAY,354200,1,2
-116.94,33.77,7240,1410,2708,1240,14,2.4145,INLAND,137600,0,0
-120.1,38.91,1561,282,30,11,33,1.875,INLAND,500001,1,2
-122.72,38.44,188,62,301,72,52,0.9437,<1H OCEAN,129200,0,0
-119.34,36.22,2708,460,1260,455,38,3.0905,INLAND,78200,0,0
-118.03,34.14,4353,1117,2338,1037,31,3.0727,INLAND,242600,1,2
-117.72,33.54,4866,812,1909,733,13,4.9821,<1H OCEAN,244800,1,2
-118.31,33.99,2235,433,1363,433,48,1.6559,<1H OCEAN,101400,0,0
-122.3,37.57,1973,352,1169,370,36,5.033,NEAR BAY,270900,1,2
-121.59,37.19,220,32,55,26,52,15.0001,<1H OCEAN,131300,0,0
-122.86,38.44,1534,292,716,288,31,3.4471,<1H OCEAN,209500,1,1
-122.24,37.82,3481,751,1444,718,52,3.9,NEAR BAY,275700,1,2
-122,37.27,1664,271,759,272,33,5.7876,<1H OCEAN,415800,1,2
-116.87,33.76,4116,761,1714,717,5,2.5612,INLAND,130800,0,0
-121.83,37.36,4045,885,3036,845,29,3.1982,<1H OCEAN,171700,0,1
-120.26,38.13,301,94,122,47,17,4.0583,INLAND,87500,0,0
-118.1,33.93,1124,217,707,234,36,4.375,<1H OCEAN,174500,0,1
-121.79,36.68,6912,1513,3794,1455,22,3.0608,<1H OCEAN,168300,0,1
-122.43,37.75,2155,468,962,490,52,3.775,NEAR BAY,325900,1,2
-118.18,33.95,2608,610,2062,616,42,3.5341,<1H OCEAN,167500,0,1
-118.28,34.18,2602,418,1137,419,52,5.3185,<1H OCEAN,358000,1,2
-120.46,34.63,1408,301,682,279,48,2.9271,NEAR OCEAN,146600,0,1
-122.58,38.46,2936,517,1182,501,15,3.3981,<1H OCEAN,246900,1,2
-121.84,38.65,3167,548,1554,534,29,4.3487,INLAND,200700,1,1
